231.000,95833.333,-2.837,1.349,1.487,3.846,0.157,-4.003
232.000,96250.000,-2.801,1.010,1.792,3.500,0.747,-4.247
233.000,96666.667,-2.718,0.652,2.066,3.094,1.324,-4.418
234.000,97083.333,-2.588,0.284,2.304,2.635,1.878,-4.513
235.000,97500.000,-2.413,-0.090,2.502,2.131,2.401,-4.532
236.000,97916.667,-2.196,-0.461,2.657,1.590,2.882,-4.473
237.000,98333.333,-1.942,-0.826,2.767,1.022,3.315,-4.337
238.000,98750.000,-1.654,-1.176,2.829,0.437,3.690,-4.127
239.000,99166.667,-1.337,-1.506,2.843,-0.156,4.002,-3.847
240.000,99583.333,-0.997,-1.811,2.808,-0.745,4.246,-3.500
241.000,100000.000,-0.640,-2.084,2.724,-1.323,4.417,-3.094
242.000,100416.667,-0.271,-2.322,2.594,-1.877,4.513,-2.635
243.000,100833.333,-0.103,-2.601,2.339,-2.289,4.531,-2.242
244.000,101250.000,-0.293,-3.041,1.837,-2.518,4.472,-1.954
245.000,101666.667,-0.773,-3.677,1.057,-2.658,4.336,-1.678
246.000,102083.333,-1.502,-4.505,0.003,-2.748,4.126,-1.379
247.000,102500.000,-2.459,-5.505,-1.300,-2.786,3.846,-1.060
248.000,102916.667,-3.622,-6.658,-2.828,-2.774,3.500,-0.726
249.000,103333.333,-4.967,-7.938,-4.549,-2.713,3.093,-0.381
250.000,103750.000,-6.467,-9.318,-6.428,-2.601,2.634,-0.033
251.000,104166.667,-8.091,-10.773,-8.431,-2.445,2.130,0.314
252.000,104583.333,-9.808,-12.270,-10.517,-2.242,1.590,0.652
253.000,105000.000,-11.583,-13.784,-12.649,-2.000,1.022,0.978
254.000,105416.667,-13.382,-15.278,-14.782,-1.720,0.437,1.284
255.000,105833.333,-15.171,-16.730,-16.881,-1.410,-0.156,1.567
256.000,106250.000,-16.914,-18.105,-18.900,-1.073,-0.746,1.819
257.000,106666.667,-18.578,-19.381,-20.806,-0.716,-1.323,2.039
258.000,107083.333,-20.131,-20.527,-22.559,-0.343,-1.878,2.221
259.000,107500.000,-21.541,-21.523,-24.127,0.036,-2.401,2.364
260.000,107916.667,-22.782,-22.348,-25.479,0.417,-2.882,2.464
261.000,108333.333,-23.828,-22.983,-26.588,0.794,-3.314,2.520
262.000,108750.000,-24.659,-23.415,-27.433,1.158,-3.689,2.531
263.000,109166.667,-25.255,-23.631,-27.992,1.506,-4.002,2.496
264.000,109583.333,-25.604,-23.627,-28.258,1.828,-4.245,2.418
265.000,110000.000,-25.696,-23.396,-28.217,2.122,-4.417,2.295
266.000,110416.667,-25.527,-22.943,-27.872,2.380,-4.512,2.132
267.000,110833.333,-25.095,-22.269,-27.221,2.601,-4.530,1.930
268.000,111250.000,-24.405,-21.384,-26.275,2.778,-4.471,1.693
269.000,111666.667,-23.467,-20.299,-25.046,2.910,-4.336,1.426
270.000,112083.333,-22.292,-19.031,-23.551,2.993,-4.126,1.133
271.000,112500.000,-20.898,-17.598,-21.815,3.027,-3.845,0.818
272.000,112916.667,-19.305,-16.020,-19.862,3.011,-3.499,0.488
273.000,113333.333,-17.539,-14.324,-17.726,2.944,-3.093,0.149
274.000,113750.000,-15.626,-12.534,-15.436,2.830,-2.634,-0.196
275.000,114166.667,-13.596,-10.679,-13.033,2.668,-2.130,-0.538
276.000,114583.333,-11.482,-8.787,-10.552,2.462,-1.589,-0.873
277.000,115000.000,-9.316,-6.889,-8.036,2.215,-1.021,-1.194
278.000,115416.667,-7.134,-5.013,-5.522,1.933,-0.436,-1.497
279.000,115833.333,-4.969,-3.191,-3.053,1.618,0.157,-1.775
280.000,116250.000,-2.857,-1.449,-0.667,1.277,0.747,-2.024
281.000,116666.667,-0.831,0.183,1.596,0.916,1.324,-2.240
282.000,117083.333,1.077,1.682,3.702,0.540,1.879,-2.419
283.000,117500.000,2.837,3.023,5.615,0.157,2.401,-2.558
284.000,117916.667,4.420,4.186,7.306,-0.228,2.882,-2.655
285.000,118333.333,5.803,5.155,8.748,-0.607,3.315,-2.707
286.000,118750.000,6.963,5.912,9.918,-0.976,3.690,-2.714
